lemma,PoS,freq(ipm)
и,conj,35801.8
в,pr,31374.2
не,part,18028.0
на,pr,15867.3
я,spro,12684.4
быть,v,12160.7
он,spro,11791.1
с,pr,11311.9
что,conj,8354.0
а,conj,8198.0
по,pr,5786.7
это,spro,5707.8
она,spro,5592.4
этот,apro,5414.0
к,pr,5389.0
но,conj,5381.4
они,spro,4850.0
мы,spro,4704.8
как,conj,4403.7
из,pr,4314.1
у,pr,4306.1
который,apro,4209.0
то,spro,3964.4
за,pr,3904.1
свой,apro,3825.5
что,spro,3810.2
весь,apro,3786.3
год,s,3727.5
от,pr,3672.5
так,advpro,3440.4
о,pr,3407.1
для,pr,3229.3
ты,spro,3171.2
же,part,3144.3
все,spro,3106.8
тот,apro,2967.1
мочь,v,2912.3
вы,spro,2906.4
человек,s,2723.0
такой,apro,2696.8
его,apro,2577.9
сказать,v,2396.6
только,part,2391.7
или,conj,2345.0
еще,adv,2323.9
бы,part,2322.4
себя,spro,2272.8
один,apro,2245.7
как,advpro,2212.7
уже,adv,2179.2
до,pr,2061.1
время,s,2015.7
если,conj,1998.1
сам,apro,1986.3
когда,conj,1895.7
другой,apro,1837.3
вот,part,1785.1
говорить,v,1755.0
наш,apro,1731.8
мой,apro,1720.3
знать,v,1713.8
стать,v,1621.8
при,pr,1550.8
чтобы,conj,1479.7
дело,s,1412.1
жизнь,s,1389.8
кто,spro,1374.8
первый,anum,1345.6
очень,adv,1286.8
два,num,1285.1
день,s,1258.4
ее,apro,1219.2
новый,a,1217.5
рука,s,1200.6
даже,part,1179.8
во,pr,1167.8
со,pr,1151.3
раз,s,1131.8
где,advpro,1129.2
там,advpro,1128.1
под,pr,1126.0
можно,adv,1125.9
ну,part,1114.6
какой,apro,1091.7
после,pr,1080.1
их,apro,1076.0
работа,s,1058.3
без,pr,1018.8
самый,apro,1007.4
потом,advpro,1006.1
надо,adv,993.2
хотеть,v,991.3
ли,part,981.7
слово,s,967.9
идти,v,957.1
большой,a,944.4
должен,a,944.2
место,s,926.6
иметь,v,906.7
ничто,spro,902.8
то,conj,902.4
сейчас,advpro,897.3
тут,advpro,879.2
лицо,s,878.0
каждый,apro,875.9
друг,s,874.2
нет,adv,874.0
теперь,advpro,871.8
ни,part,858.2
глаз,s,857.6
тоже,adv,841.5
тогда,advpro,835.6
видеть,v,818.2
вопрос,s,805.8
через,pr,805.4
да,conj,801.0
здесь,advpro,796.8
дом,s,792.6
да,part,787.5
потому,advpro,769.3
сторона,s,768.3
какой-то,apro,762.6
думать,v,755.5
сделать,v,743.5
страна,s,725.7
жить,v,725.5
чем,conj,721.1
мир,s,714.7
об,pr,714.5
последний,a,712.6
случай,s,709.7
голова,s,709.4
более,adv,706.2
делать,v,701.1
что-то,spro,667.6
смотреть,v,667.2
ребенок,s,658.3
просто,part,656.5
конечно,adv,647.3
сила,s,645.8
российский,a,644.6
конец,s,634.7
перед,pr,626.7
несколько,num,623.7
вид,s,620.1
система,s,617.8
всегда,advpro,611.9
работать,v,611.2
между,pr,607.5
три,num,596.7
нет,part,589.2
понять,v,588.2
пойти,v,587.2
часть,s,585.4
спросить,v,573.9
город,s,573.4
дать,v,573.1
также,adv,569.9
никто,spro,562.2
понимать,v,559.7
получить,v,557.7
отношение,s,557.4
лишь,part,552.5
второй,anum,552.4
именно,part,551.4
ваш,apro,547.5
хотя,conj,546.9
ни,conj,543.5
сидеть,v,538.1
над,pr,537.0
женщина,s,533.3
оказаться,v,531.9
русский,a,530.5
один,anum,529.5
взять,v,525.8
прийти,v,523.3
являться,v,522.9
деньги,s,512.4
почему,advpro,507.2
вдруг,adv,503.2
любить,v,503.1
стоить,v,501.9
почти,adv,501.7
земля,s,494.4
общий,a,492.4
ведь,part,491.9
машина,s,490.4
однако,conj,487.1
сразу,adv,486.0
хорошо,adv,485.7
вода,s,484.8
отец,s,484.1
высокий,a,483.3
остаться,v,482.7
выйти,v,480.9
много,num,480.0
проблема,s,474.9
начать,v,473.3
хороший,a,471.4
час,s,468.1
это,part,466.7
сегодня,adv,463.5
право,s,461.4
совсем,adv,460.5
нога,s,459.2
считать,v,455.3
главный,a,454.6
решение,s,453.4
увидеть,v,452.4
дверь,s,450.8
казаться,v,448.2
образ,s,445.9
писать,v,444.3
история,s,443.9
лучший,a,443.2
власть,s,435.6
закон,s,433.4
все,advpro,433.3
война,s,425.9
бог,s,425.4
голос,s,424.5
найти,v,424.1
поэтому,advpro,421.3
стоять,v,419.3
вообще,adv,417.6
тысяча,s,416.0
больше,adv,415.3
вместе,adv,414.3
маленький,a,414.1
книга,s,413.9
некоторый,apro,410.9
решить,v,409.7
любой,apro,408.8
возможность,s,407.5
результат,s,403.1
ночь,s,402.8
стол,s,402.5
никогда,advpro,401.8
имя,s,401.7
область,s,400.2
молодой,a,400.0
пройти,v,398.4
например,adv,398.0
статья,s,395.0
оно,spro,394.7
число,s,393.5
компания,s,392.7
про,pr,392.1
государственный,a,391.3
полный,a,390.6
принять,v,386.9
народ,s,385.6
никакой,apro,383.7
советский,a,382.9
жена,s,376.8
настоящий,a,374.0
всякий,apro,373.2
группа,s,372.8
развитие,s,372.6
